Year,Location,Siteyear,DAS,Trial,joined_PlotIDstring,613ExG_mean,613ExR_mean,613GNDVI_mean,613NDRE_mean,NDVI_mean,Thresh_mean,HAreamean,pntcounts,Plot Yield,PeakStand,Normalized Plot Yield,HAAdjustedYield,,,,
2024,LODS,2024LODS,13,24110,101,2673.803527,16849.91405,0.38610535,0.124136035,0.235324619,0.008936632,0.930738665,69,2276.258023,0.469751658,1.481712397,2445.646784,,,,
2024,LODS,2024LODS,13,24110,108,2718.814833,16987.68562,0.377514486,0.118661668,0.225491394,0.009552602,0.977855263,78,2454.348524,0.609423426,1.597639019,2509.93027,,,,
2024,LODS,2024LODS,13,24110,201,2719.580527,16508.9088,0.365662021,0.101018759,0.228580691,0.01799923,0.988000316,86,2469.878049,0.574475598,1.607747842,2499.875768,,,,
2024,LODS,2024LODS,13,24111,208,3023.371233,16465.8983,0.356584058,0.087472901,0.235066752,0.056594399,0.978092105,59,1366.832478,0.614798154,0.889728935,1397.447614,,,,
2024,LODS,2024LODS,13,24111,301,2931.670369,16337.96809,0.354735567,0.088250976,0.21966306,0.030022464,0.756526316,46,784.9229782,0.382404289,0.510939487,1037.535591,,,,
2024,LODS,2024LODS,13,24112,308,2522.380322,16615.19646,0.359295207,0.095652047,0.231254017,0.012205022,0.730385127,44,607.3652118,0.333788865,0.395359645,831.5684279,,,,
2024,LODS,2024LODS,13,24112,401,2889.498478,16605.30524,0.362863895,0.099049516,0.234262408,0.025571224,0.870317496,43,238.7676508,0.528613276,0.155423939,274.3454566,,,,
2024,LODS,2024LODS,13,24112,408,2923.08882,17013.37601,0.374518177,0.104652848,0.243524853,0.032695336,0.954183608,58,410.707638,0.591465767,0.267346932,430.4283102,,,,
2024,LODS,2024LODS,13,24112,409,2735.48157,17225.6019,0.370394065,0.102646661,0.229429946,0.010035341,0.608055475,43,482.1662388,0.275711231,0.31386235,792.9642255,,,,
2024,LODS,2024LODS,13,24112,402,3173.200994,16116.05297,0.369070489,0.095940678,0.239987132,0.057671717,0.981473928,64,1181.702503,0.480181252,0.769220023,1204.008043,,,,
2024,LODS,2024LODS,13,24112,309,3052.943916,16356.35378,0.365790229,0.095106153,0.243026094,0.048413509,0.98394758,60,1253.947368,0.623829576,0.816247254,1274.404647,,,,
2024,LODS,2024LODS,13,24111,302,2759.827269,16430.49815,0.356769229,0.089993611,0.219426499,0.020336895,0.978618421,66,924.8106547,0.599865303,0.601998279,945.0166018,,,,
2024,LODS,2024LODS,13,24111,209,2735.000406,16830.02173,0.354391089,0.089167976,0.226901684,0.026845262,0.952210526,47,763.1418485,0.488269603,0.496761231,801.4423572,,,,
