fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row_index,joined_col_index,joined_PlotID,joined_PlotIDstring,NDVI_mean,SAVI_mean,Threshold_sum,Threshold_mean,PLANTS_2ROW,HAreamean,_mean
"1517",2024/06/04,01:48:44pm,4.71,"905",U-1,45.4329503,-73.93921111,39.021,"0","0",,"1",5009318c201f855b,"0","0","101","101",0.235324618993437,0.0156817168512217,1277,0.00893663179257497,69,0.93073866477198,0.469703918161325
"1519",2024/06/04,02:15:42pm,4.71,"905",U1,45.43297649,-73.93912978,39.021,"0","0",,"1",500937de01a1bd1f,"0","1","108","108",0.225491393529357,0.0160155686635569,1365,0.0095526022968235,78,0.977855263157895,0.450232359722111
"1520",2024/06/04,02:15:55pm,4.71,"905",U3,45.43300365,-73.93904906,39.021,"0","0",,"1",500937eb32eb8e40,"0","2","201","201",0.228580691469943,0.0147141057899819,2572,0.0179992302039959,86,0.988000315781164,0.456561762864819
"1521",2024/06/04,02:16:07pm,4.71,"905",U5,45.43303015,-73.93896796,39.021,"0","0",,"1",500937f72fc8d1c6,"0","3","208","208",0.235066751652335,0.0152261966221033,8087,0.0565943986451495,59,0.978092105263158,0.469777662389245
"1522",2024/06/04,02:16:20pm,4.71,"905",U7,45.43305724,-73.93888717,39.021,"0","0",,"1",5009380464b28f42,"0","4","301","301",0.219663060152539,0.0145943370175485,4290,0.0300224643614453,46,0.756526315789474,0.438816897614622
"1523",2024/06/04,02:16:32pm,4.71,"905",U9,45.43308434,-73.93880641,39.021,"0","0",,"1","5009381040517900","0","5","308","308",0.231254016804526,0.0149931835786192,1744,0.0122050219746382,44,0.730385126511493,0.461872097710456
"1524",2024/06/04,02:17:01pm,4.71,"905",U11,45.43311097,-73.93872532,39.021,"0","0",,"1",5009382d1f03b98f,"0","6","401","401",0.234262408098311,0.0164593197499927,3654,0.0255712236257392,43,0.870317495822423,0.46771460292113
"1525",2024/06/04,02:17:13pm,4.71,"905",U13,45.43313791,-73.93864447,39.021,"0","0",,"1",500938393916ae56,"0","6","408","408",0.243524853225389,0.0158116235612606,4672,0.03269533573603,58,0.954183607679048,0.486631456925252
"1526",2024/06/04,02:18:31pm,4.71,"905",D13,45.4331127,-73.93862763,39.02,"0","0",,"1",500938877536384a,"1","7","409","409",0.229429946324623,0.0146713899002022,1434,0.0100353406347318,43,0.608055475144083,0.458346417286375
"1527",2024/06/04,02:18:44pm,4.71,"905",D11,45.43308611,-73.93870872,39.02,"0","0",,"1",50093894752ce1b7,"1","6","402","402",0.239987131823917,0.0156518306912965,8241,0.0576717169949963,64,0.981473927974632,0.479326931442727
"1528",2024/06/04,02:18:57pm,4.71,"905",D9,45.43305949,-73.93878983,39.021,"0","0",,"1",500938a125f6843f,"1","5","309","309",0.243026094401379,0.0151745542789877,6918,0.0484135093145968,60,0.98394757963711,0.485395206304104
