fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row_index,joined_col_index,joined_PlotID,joined_PlotIDstring,NDVI_mean,SAVI_mean,THRESH_mean,HArea_mean,PLTCOUNT
"1517",2024/06/04,01:48:44pm,4.71,"905",U-1,45.4329503,-73.93921111,39.021,"0","0",,"1",5009318c201f855b,"0","0","101","101",0.27767677019915,61465.2814934281,0.0700223961972171,0.938472874643087,77
"1519",2024/06/04,02:15:42pm,4.71,"905",U1,45.43297649,-73.93912978,39.021,"0","0",,"1",500937de01a1bd1f,"0","1","108","108",0.286813185291396,60446.6705582762,0.100215475024486,0.983421052631579,81
"1520",2024/06/04,02:15:55pm,4.71,"905",U3,45.43300365,-73.93904906,39.021,"0","0",,"1",500937eb32eb8e40,"0","2","201","201",0.302692726593245,63750.2496898466,0.14086842964414,0.98652649307246,66
"1521",2024/06/04,02:16:07pm,4.71,"905",U5,45.43303015,-73.93896796,39.021,"0","0",,"1",500937f72fc8d1c6,"0","3","208","208",0.371607373249951,69521.0772003369,0.282754477724017,0.773654916512059,29
"1522",2024/06/04,02:16:20pm,4.71,"905",U7,45.43305724,-73.93888717,39.021,"0","0",,"1",5009380464b28f42,"0","4","301","301",0.303754957364054,64087.9163037304,0.167960613520167,0.800247371675943,41
"1523",2024/06/04,02:16:32pm,4.71,"905",U9,45.43308434,-73.93880641,39.021,"0","0",,"1","5009381040517900","0","5","308","308",0.256237137789515,64596.3318881082,0.106041907448399,0.692838063658732,31
"1524",2024/06/04,02:17:01pm,4.71,"905",U11,45.43311097,-73.93872532,39.021,"0","0",,"1",5009382d1f03b98f,"0","6","401","401",0.302137202829995,63765.3948337556,0.167419750829263,0.765286385347176,23
"1525",2024/06/04,02:17:13pm,4.71,"905",U13,45.43313791,-73.93864447,39.021,"0","0",,"1",500938393916ae56,"0","6","408","408",0.321717343160401,67502.1905309139,0.188506767830442,0.909368421052632,44
"1526",2024/06/04,02:18:31pm,4.71,"905",D13,45.4331127,-73.93862763,39.02,"0","0",,"1",500938877536384a,"1","7","409","409",0.256960142923669,65376.9248570011,0.088306735967822,0.523605263157895,18
"1527",2024/06/04,02:18:44pm,4.71,"905",D11,45.43308611,-73.93870872,39.02,"0","0",,"1",50093894752ce1b7,"1","6","402","402",0.35522890835236,71277.4716744587,0.261910047796902,0.663864108839241,24
"1528",2024/06/04,02:18:57pm,4.71,"905",D9,45.43305949,-73.93878983,39.021,"0","0",,"1",500938a125f6843f,"1","5","309","309",0.326232269455164,70374.8769091135,0.234305825813276,0.894236842105263,41
"1529",2024/06/04,02:19:09pm,4.71,"905",D7,45.43303241,-73.93887061,39.021,"0","0",,"1",500938ad2f841179,"1","4","302","302",0.33164583209807,65531.9260071825,0.220097943192948,0.928421052631579,45
"1530",2024/06/04,02:19:22pm,4.71,"905",D5,45.43300564,-73.9389516,39.021,"0","0",,"1",500938ba669012e1,"1","3","209","209",0.303868055346106,66464.7780005093,0.166499072792332,0.951276956882146,50
"1531",2024/06/04,02:19:34pm,4.71,"905",D3,45.43297856,-73.9390323,39.021,"0","0",,"1",500938c669fc4194,"1","2","202","202",0.268653289329006,61992.4211557297,0.0759059745347698,0.995644794147445,94
"1532",2024/06/04,02:19:47pm,4.71,"905",D1,45.4329516,-73.93911321,39.021,"0","0",,"1",500938d31d4cc688,"1","1","109","109",0.290414249224889,67699.0446104422,0.128346436127145,0.945828947368421,59
"1533",2024/06/04,02:20:00pm,4.71,"905",D-1,45.4329247,-73.93919406,39.021,"0","0",,"1",500938e02a9ec38d,"1","0","102","102",0.283110110058674,63717.1212071746,0.0963362955514492,0.987618746875082,109
"1534",2024/06/04,02:20:58pm,4.71,"905",U-1,45.43290041,-73.93917769,39.021,"0","0",,"1",5009391a2cd19750,"2","0","103","103",0.284777363511468,65577.1491012138,0.117152352906609,0.980092367205695,69
"1535",2024/06/04,02:21:11pm,4.71,"905",U1,45.43292639,-73.93909621,39.021,"0","0",,"1",500939272161cf8e,"2","1","110","110",0.248414443852523,63246.4198003252,0.060842708734631,0.979881578947368,62
"1536",2024/06/04,02:21:23pm,4.71,"905",U3,45.43295377,-73.93901557,39.021,"0","0",,"1",500939332035b4b3,"2","2","203","203",0.268687274889763,61150.4068978576,0.0968272727866326,0.990368167583357,98
"1537",2024/06/04,02:21:51pm,4.71,"905",U5,45.43298071,-73.93893478,39.02,"0","0",,"1",5009394f377e7978,"2","3","210","210",0.348380534343393,67838.5047306253,0.264013947019608,0.678464757042671,24
"1538",2024/06/04,02:22:04pm,4.71,"905",U7,45.43300744,-73.93885375,39.02,"0","0",,"1",5009395c17548ec5,"2","4","303","303",0.317629075434256,65682.0158797527,0.209629711853008,0.945947368421053,50
"1539",2024/06/04,02:22:17pm,4.71,"905",U9,45.43303463,-73.93877308,39.02,"0","0",,"1",500939696854b105,"2","5","310","310",0.302529349559004,67378.3275198987,0.202153430274696,0.875394736842105,37
"1540",2024/06/04,02:22:29pm,4.71,"905",U11,45.43306147,-73.93869215,39.02,"0","0",,"1",5009397538f822dd,"2","6","403","403",0.330527922531416,66034.5259680052,0.221769507019262,0.911550303955367,38
"1541",2024/06/04,02:22:42pm,4.71,"905",U13,45.43308844,-73.9386113,39.02,"0","0",,"1",50093982458e6078,"2","7","410","410",0.34957839016182,67783.8084349229,0.248183141907554,0.78278947368421,26
"1542",2024/06/04,02:27:37pm,4.71,"905",D13,45.43306279,-73.93859418,39.02,"0","0",,"1",50093aa91c5e3ec4,"3","7","411","411",0.316667407571386,68889.6429928633,0.205757716240834,0.812094577702925,40
