fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row_index,joined_col_index,joined_PlotID,joined_PlotIDstring,NDVI_mean,Thresholdsum,Thresholdmean,715SAVI_mean
1529,2024-06-04,02:19:09pm,4.71,905,D7,45.43303241,-73.93887061,39.021,0,0,,1,500938ad2f841179,1,4,302,302,0.603890645,91741,0.599865303,1.206331448
1538,2024-06-04,02:22:04pm,4.71,905,U7,45.43300744,-73.93885375,39.02,0,0,,1,5009395c17548ec5,2,4,303,303,0.564303177,82350,0.538460533,1.127247381
1545,2024-06-04,02:28:21pm,4.71,905,D7,45.43298281,-73.93883734,39.02,0,0,,1,50093ad5406f8ce0,3,4,304,304,0.480383957,64040,0.418745464,0.959613242
1554,2024-06-04,02:30:51pm,4.71,905,U7,45.43295813,-73.93882066,39.02,0,0,,1,50093b6b45d1b542,4,4,305,305,0.549834532,78993,0.516506797,1.098306325
1561,2024-06-04,02:33:19pm,4.71,905,D7,45.43293318,-73.93880404,39.02,0,0,,1,50093bff4709aa8e,5,4,306,306,0.590408422,87572,0.57260179,1.179422508
1570,2024-06-04,02:35:55pm,4.71,905,U7,45.43290856,-73.93878739,39.019,0,0,,1,50093c9b5b838619,6,4,307,307,0.621090482,95462,0.624187579,1.240836006
1523,2024-06-04,02:16:32pm,4.71,905,U9,45.43308434,-73.93880641,39.021,0,0,,1,5009381040517900,0,5,308,308,0.450387987,51048,0.333788865,0.899571099
1528,2024-06-04,02:18:57pm,4.71,905,D9,45.43305949,-73.93878983,39.021,0,0,,1,500938a125f6843f,1,5,309,309,0.592093296,95406,0.623829576,1.182722699
1539,2024-06-04,02:22:17pm,4.71,905,U9,45.43303463,-73.93877308,39.02,0,0,,1,500939696854b105,2,5,310,310,0.580371781,83298,0.544655643,1.159324119
1544,2024-06-04,02:28:09pm,4.71,905,D9,45.43301019,-73.93875676,39.02,0,0,,1,50093ac93b20d3c3,3,5,311,311,0.486818037,61110,0.399581522,0.97241981
1555,2024-06-04,02:31:03pm,4.71,905,U9,45.43298503,-73.93873976,39.02,0,0,,1,50093b771410315b,4,5,312,312,0.61279217,95545,0.624738453,1.224016997
1560,2024-06-04,02:33:06pm,4.71,905,D9,45.43296038,-73.93872333,39.02,0,0,,1,50093bf2355ce56d,5,5,313,313,0.603019803,97688,0.63875085,1.204519138
1571,2024-06-04,02:36:07pm,4.71,905,U9,45.43293551,-73.93870658,39.019,0,0,,1,50093ca71aaea32f,6,5,314,314,0.650059258,105971,0.692919822,1.298747681
1524,2024-06-04,02:17:01pm,4.71,905,U11,45.43311097,-73.93872532,39.021,0,0,,1,5009382d1f03b98f,0,6,401,401,0.550164664,80844,0.528613276,1.098915602
1527,2024-06-04,02:18:44pm,4.71,905,D11,45.43308611,-73.93870872,39.02,0,0,,1,50093894752ce1b7,1,6,402,402,0.550165171,73437,0.480181252,1.098942268
1540,2024-06-04,02:22:29pm,4.71,905,U11,45.43306147,-73.93869215,39.02,0,0,,1,5009397538f822dd,2,6,403,403,0.565937328,79344,0.518795075,1.130473081
1543,2024-06-04,02:27:50pm,4.71,905,D11,45.43303634,-73.93867533,39.02,0,0,,1,50093ab67d023af4,3,6,404,404,0.413505748,41873,0.273796057,0.825949774
1556,2024-06-04,02:31:16pm,4.71,905,U11,45.433012,-73.93865893,39.02,0,0,,1,50093b8410c2a505,4,6,405,405,0.550753103,81369,0.532046085,1.100132269
1559,2024-06-04,02:32:54pm,4.71,905,D11,45.43298676,-73.9386421,39.019,0,0,,1,50093be6278a06c1,5,6,406,406,0.541315983,74122,0.48466025,1.081320432
1572,2024-06-04,02:36:20pm,4.71,905,U11,45.43296222,-73.93862553,39.019,0,0,,1,50093cb463aa4ae6,6,6,407,407,0.521463223,70330,0.459862558,1.041664908
1525,2024-06-04,02:17:13pm,4.71,905,U13,45.43313791,-73.93864447,39.021,0,0,,1,500938393916ae56,0,6,408,408,0.576526447,90457,0.591465767,1.151428262
1526,2024-06-04,02:18:31pm,4.71,905,D13,45.4331127,-73.93862763,39.02,0,0,,1,500938877536384a,1,7,409,409,0.408987838,42167,0.275711231,0.816808291
1541,2024-06-04,02:22:42pm,4.71,905,U13,45.43308844,-73.9386113,39.02,0,0,,1,50093982458e6078,2,7,410,410,0.566845982,84833,0.554703336,1.132008357
1542,2024-06-04,02:27:37pm,4.71,905,D13,45.43306279,-73.93859418,39.02,0,0,,1,50093aa91c5e3ec4,3,7,411,411,0.532364372,78160,0.511070135,1.063183467
1557,2024-06-04,02:31:29pm,4.71,905,U13,45.43303878,-73.93857797,39.02,0,0,,1,50093b9138442333,4,7,412,412,0.546776537,81683,0.534099231,1.0920483
1558,2024-06-04,02:32:41pm,4.71,905,D13,45.43301335,-73.93856101,39.019,0,0,,1,50093bd918887c7b,5,7,413,413,0.60063727,95966,0.627487135,1.199552852
1573,2024-06-04,02:36:33pm,4.71,905,U13,45.4329891,-73.93854462,39.019,0,0,,1,50093cc1072c464e,6,7,414,414,0.420833316,48680,0.318298919,0.840511469
77777,2025-04-24,,,,,,,,,,,,,,,,,0.131622554,96,0.01275578,0.262682131
