fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row_index,joined_col_index,joined_PlotID,joined_PlotIDstring,pntcounts,Thresh_sum,Thresh_mean,NDVI_mean,_mean,HAreamean,613GNDVI_mean,613GNDVI_variance,613NDRE_mean,613NDRE_variance,613ExG_mean,613ExG_variance,613ExR_mean,613ExR_variance
"1517",2024/06/04,01:48:44pm,4.71,"905",U-1,45.4329503,-73.93921111,39.021,"0","0",,"1",5009318c201f855b,"0","0","101","101",25,138,0.00116765099081109,0.277468979192507,0.554912437197751,0.693044553804048,0.079031091083292,0.00426838763223676,-0.0171674182382686,0.00120961945480263,2137.97513241839,1517090.86049036,15061.1020740244,23748992.554411
"1519",2024/06/04,02:15:42pm,4.71,"905",U1,45.43297649,-73.93912978,39.021,"0","0",,"1",500937de01a1bd1f,"0","1","108","108",20,137,0.00115919956001185,0.264809235166309,0.529593759095679,0.638430567616642,0.0707715814955131,0.00418028779852779,-0.0214080050473076,0.00161827874143849,1856.75763421754,1520579.50737972,14837.602611553,27082337.5189937
"1520",2024/06/04,02:15:55pm,4.71,"905",U3,45.43300365,-73.93904906,39.021,"0","0",,"1",500937eb32eb8e40,"0","2","201","201",31,258,0.00218298120774704,0.263465735313106,0.526907921532195,0.806292022473388,0.0738946989032459,0.00513811044127564,-0.0205452888235758,0.00163811911841198,1857.46418810868,2102287.97669097,15213.331446929,28638442.3453075
"1521",2024/06/04,02:16:07pm,4.71,"905",U5,45.43303015,-73.93896796,39.021,"0","0",,"1",500937f72fc8d1c6,"0","3","208","208",14,202,0.00170914136798998,0.262757716310448,0.525492340919886,0.63687680101054,0.0778295537690831,0.00465750364411252,-0.0209293454158877,0.00145183771762823,1947.16082004941,1998912.62338219,15243.7251537137,25793973.9724447
"1522",2024/06/04,02:16:20pm,4.71,"905",U7,45.43305724,-73.93888717,39.021,"0","0",,"1",5009380464b28f42,"0","4","301","301",14,186,0.00157380378220586,0.263791630834868,0.527559382936089,0.522565789473684,0.0770959859999983,0.00396830635495048,-0.019564081497882,0.00175154396355247,1942.85579388247,2019923.34079022,14951.9594053716,25485303.9319052
"1523",2024/06/04,02:16:32pm,4.71,"905",U9,45.43308434,-73.93880641,39.021,"0","0",,"1","5009381040517900","0","5","308","308",2,49,0.000414604222194018,0.263578768375346,0.527134555249739,0.11739628153002,0.0779239282399277,0.00566058084520449,-0.0211810487480007,0.00167334541188757,1858.77807674409,2051015.42127506,15528.7769380223,27021214.982122
"1524",2024/06/04,02:17:01pm,4.71,"905",U11,45.43311097,-73.93872532,39.021,"0","0",,"1",5009382d1f03b98f,"0","6","401","401",5,60,0.000507665752868312,0.254368672080576,0.508713807637976,0.199386825969104,0.0697533655974457,0.00422964071155728,-0.0290811342423629,0.0016567220289364,1839.12215284124,2073585.22952819,15709.385515705,25263461.4324574
"1525",2024/06/04,02:17:13pm,4.71,"905",U13,45.43313791,-73.93864447,39.021,"0","0",,"1",500938393916ae56,"0","6","408","408",6,61,0.000516131215785154,0.26537704260046,0.530731462005055,0.324324679938422,0.0750789852300291,0.00502894554237007,-0.0142704853226999,0.00185780506499489,1886.79218526572,2017223.52261128,15789.7208703836,26030881.7328586
"1526",2024/06/04,02:18:31pm,4.71,"905",D13,45.4331127,-73.93862763,39.02,"0","0",,"1",500938877536384a,"1","7","409","409",3,34,0.000287679694044184,0.264103557363913,0.528185035760934,0.194484283101538,0.073107300205742,0.00512625538274916,-0.0136258845653331,0.00175624896217223,1903.5050978534,2160974.38958329,16107.50610205,26503479.554656
"1527",2024/06/04,02:18:44pm,4.71,"905",D11,45.43308611,-73.93870872,39.02,"0","0",,"1",50093894752ce1b7,"1","6","402","402",5,81,0.00068534296761966,0.253162922405488,0.506303598365118,0.273279911577784,0.0701063043619305,0.00450628309235742,-0.0254739434014084,0.00203688561419565,1831.43198605623,2397129.41096482,16115.1473615476,27709811.2673763
"1528",2024/06/04,02:18:57pm,4.71,"905",D9,45.43305949,-73.93878983,39.021,"0","0",,"1",500938a125f6843f,"1","5","309","309",22,439,0.00371438966401273,0.264710046153692,0.529397773622745,0.734052631578947,0.0776213431011613,0.00550439900091323,-0.0210212867663907,0.00169969742224798,2102.68184010356,2959682.99414698,15945.7783204592,27506530.7738105
"1529",2024/06/04,02:19:09pm,4.71,"905",D7,45.43303241,-73.93887061,39.021,"0","0",,"1",500938ad2f841179,"1","4","302","302",3,48,0.000406132602294649,0.261523190200852,0.523022728790014,0.174510861699188,0.0750136399103319,0.00403470428294579,-0.0204243374713263,0.00173599097245297,1961.10027244729,1698246.28722604,15100.2228058113,26390636.5603176
"1530",2024/06/04,02:19:22pm,4.71,"905",D5,45.43300564,-73.9389516,39.021,"0","0",,"1",500938ba669012e1,"1","3","209","209",7,91,0.000769966239941787,0.265556814825369,0.531090740495421,0.32042999434218,0.0834580990729531,0.00522079891611946,-0.0179224063741691,0.00162583687606189,1758.25557802466,2141777.69480579,15519.6881075933,27939502.430007
"1531",2024/06/04,02:19:34pm,4.71,"905",D3,45.43297856,-73.9390323,39.021,"0","0",,"1",500938c669fc4194,"1","2","202","202",15,110,0.000930728421907655,0.260984975682337,0.521947273205772,0.56507723480961,0.0716338537496806,0.00515243197103397,-0.0209098415031108,0.00178706344581491,1794.24918138205,2098657.38283915,15603.9191125898,28100367.2730802
"1532",2024/06/04,02:19:47pm,4.71,"905",D1,45.4329516,-73.93911321,39.021,"0","0",,"1",500938d31d4cc688,"1","1","109","109",16,290,0.00245373856684745,0.260183241012656,0.520344384023762,0.449244088893567,0.0715126128139895,0.00487543494241159,-0.0210946600136804,0.00195941994685275,1940.36267948251,1775084.78457113,15949.6997457851,28147605.6809089
"1533",2024/06/04,02:20:00pm,4.71,"905",D-1,45.4329247,-73.93919406,39.021,"0","0",,"1",500938e02a9ec38d,"1","0","102","102",37,371,0.0031391196926878,0.273994325694908,0.547964201268478,0.899475006907804,0.0740938038152831,0.00458836737792661,-0.0198039411735078,0.00129615269428542,2304.80423231178,1711194.1026477,15679.65971727,24504353.4041998
"1534",2024/06/04,02:20:58pm,4.71,"905",U-1,45.43290041,-73.93917769,39.021,"0","0",,"1",5009391a2cd19750,"2","0","103","103",23,170,0.00143838629979355,0.269765042963858,0.539505423630274,0.713552631578947,0.0704483746399399,0.00374078279444606,-0.0202934193646549,0.00105967234055318,2192.10488374454,1370721.56958286,15364.2407903182,21781355.2307636
"1535",2024/06/04,02:21:11pm,4.71,"905",U1,45.43292639,-73.93909621,39.021,"0","0",,"1",500939272161cf8e,"2","1","110","110",5,25,0.000211527397028463,0.258879092061033,0.517735358057417,0.120184210526316,0.0642475642365371,0.00384356591843727,-0.0241109305434686,0.00162775502207336,1982.18561952144,1707274.97818626,15594.6984498477,25744213.6913373
"1536",2024/06/04,02:21:23pm,4.71,"905",U3,45.43295377,-73.93901557,39.021,"0","0",,"1",500939332035b4b3,"2","2","203","203",39,419,0.00354519917419704,0.262940922198943,0.525858760221306,0.885960526315789,0.067807868172955,0.00484868675542811,-0.0238020595505388,0.00163394640170822,2094.48894134768,2043668.21324116,15642.7912232488,26381792.4202524
"1537",2024/06/04,02:21:51pm,4.71,"905",U5,45.43298071,-73.93893478,39.02,"0","0",,"1",5009394f377e7978,"2","3","210","210",18,450,0.00380746093122033,0.266000716300412,0.53197709931514,0.555078947368421,0.0765586535169404,0.0051301785397889,-0.0211340211597224,0.0015802317991494,2005.13563021939,2649726.40509562,15050.2475893444,28728276.3182261
"1538",2024/06/04,02:22:04pm,4.71,"905",U7,45.43300744,-73.93885375,39.02,"0","0",,"1",5009395c17548ec5,"2","4","303","303",3,37,0.000313063196459848,0.258113321941146,0.516203968434717,0.178247654636123,0.0705905218021706,0.00407896417457925,-0.0209305154447598,0.00166190384618148,1993.04252582771,1793080.6838845,15475.2937538067,26164721.3716174
"1539",2024/06/04,02:22:17pm,4.71,"905",U9,45.43303463,-73.93877308,39.02,"0","0",,"1",500939696854b105,"2","5","310","310",16,336,0.00284302443647194,0.265984040434394,0.531944983638479,0.668412257733451,0.0776021518567883,0.00492342680649139,-0.0212805855614865,0.00144302008465706,2018.0009053679,2647002.23169727,15590.2801779657,25963520.2129555
"1540",2024/06/04,02:22:29pm,4.71,"905",U11,45.43306147,-73.93869215,39.02,"0","0",,"1",5009397538f822dd,"2","6","403","403",10,169,0.00142992520391241,0.257663726228231,0.515304235898555,0.399802631578947,0.0712244489759722,0.00439783932567545,-0.024022273347716,0.00174294663591485,1948.13646901547,2568920.35157454,15733.8557953462,26447197.4557368
"1541",2024/06/04,02:22:42pm,4.71,"905",U13,45.43308844,-73.9386113,39.02,"0","0",,"1",50093982458e6078,"2","7","410","410",3,47,0.000397664777053896,0.263205840496755,0.526388239947747,0.213891922474704,0.0667025956098536,0.00470591565246722,-0.016195368122071,0.00174015387021531,1849.25046112192,1842153.31207254,15324.5672777013,24635630.0786455
