fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row_index,joined_col_index,joined_PlotID,joined_PlotIDstring,710NDVI_mean,710NDVI_variance,710gNDVI_mean,710gNDVI_variance,710NDRE_mean,710NDRE_variance,710ExG_mean,710ExG_variance,710ExR_mean,710ExR_variance,710THRESH_mean,710HA_mean,710PLTCOUNT_
"1517",2024/06/04,01:48:44pm,4.71,"905",U-1,45.4329503,-73.93921111,39.021,"0","0",,"1",5009318c201f855b,"0","0","101","101",0.30989557653263,0.0565337840924854,0.0941489436708828,0.0195621780334028,-0.0410602589220717,0.00116698421631278,7633.71960011917,115457365.890371,10351.0403563804,58781161.367917,0.263848521963653,0.896328947368421,34
"1519",2024/06/04,02:15:42pm,4.71,"905",U1,45.43297649,-73.93912978,39.021,"0","0",,"1",500937de01a1bd1f,"0","1","108","108",0.344456477896631,0.0712275518909695,0.11597745295419,0.0242215956182027,-0.0412924398447421,0.00138677686250713,9490.918640679,130392907.80502,8318.04267859132,65589583.6357758,0.343921719211366,0.767571906002474,28
"1520",2024/06/04,02:15:55pm,4.71,"905",U3,45.43300365,-73.93904906,39.021,"0","0",,"1",500937eb32eb8e40,"0","2","201","201",0.339508447715444,0.0716545049141459,0.121312754612864,0.0236775300728834,-0.0389630711679346,0.00127697482989681,9303.9268756124,149428031.547744,8024.79691145,67444604.3308091,0.32199888774132,0.597684210526316,17
"1521",2024/06/04,02:16:07pm,4.71,"905",U5,45.43303015,-73.93896796,39.021,"0","0",,"1",500937f72fc8d1c6,"0","3","208","208",0.434732742712485,0.0722700635000528,0.165821266137719,0.021423418227489,-0.0245027039141509,0.00140477257463766,14295.3486401314,213751197.243107,5611.149329743,73048312.8169838,0.449643812399036,0.290718176794126,8
"1522",2024/06/04,02:16:20pm,4.71,"905",U7,45.43305724,-73.93888717,39.021,"0","0",,"1",5009380464b28f42,"0","4","301","301",0.307621491188088,0.0729634820929804,0.0944639920604092,0.0234505274670844,-0.0347658823214476,0.0012798591036138,9201.63182495283,169208372.128043,9211.99972172132,72996267.8704074,0.286788705352709,0.360281056329689,12
"1523",2024/06/04,02:16:32pm,4.71,"905",U9,45.43308434,-73.93880641,39.021,"0","0",,"1","5009381040517900","0","5","308","308",0.246370673597912,0.0524249758223182,0.0623149661318323,0.0142645210873598,-0.0378797123483131,0.00128699130219334,7594.34952066947,154384298.055971,10948.7460745178,54500446.5650604,0.200299250549509,0.460479743154515,11
"1524",2024/06/04,02:17:01pm,4.71,"905",U11,45.43311097,-73.93872532,39.021,"0","0",,"1",5009382d1f03b98f,"0","6","401","401",0.361043683847628,0.0643469008036221,0.115749645298594,0.0163755987772073,-0.0412036670230207,0.00161283955300793,12677.612387037,228409162.353279,8598.6751938473,66140990.9544347,0.353331788539839,0.679754730387642,26
"1525",2024/06/04,02:17:13pm,4.71,"905",U13,45.43313791,-73.93864447,39.021,"0","0",,"1",500938393916ae56,"0","6","408","408",0.392673166390766,0.0572928370662122,0.132096268018154,0.0138123587158139,-0.0400020603643328,0.0016105688568751,13137.7213792008,231631457.533844,8194.34281073405,60522853.4158991,0.371580466618998,0.799976316101104,32
"1526",2024/06/04,02:18:31pm,4.71,"905",D13,45.4331127,-73.93862763,39.02,"0","0",,"1",500938877536384a,"1","7","409","409",0.245322202495666,0.0426876810448693,0.0654026891028951,0.0129270702059786,-0.0415795405446608,0.00117192295712769,5598.66730224306,118770982.582395,12641.4651734691,49101285.4287576,0.158238658933821,0.397657894736842,12
"1527",2024/06/04,02:18:44pm,4.71,"905",D11,45.43308611,-73.93870872,39.02,"0","0",,"1",50093894752ce1b7,"1","6","402","402",0.395939796343389,0.069148048224041,0.15517109594523,0.0182828566001014,-0.0273660257396348,0.00141443421588827,13707.0183787506,258726992.999908,7190.07091141446,74503205.3857888,0.372222663594714,0.267391218536598,4
